Algorithm,RequestCount,TimeMs
OptimizedLRU,10000,0.387
SLRU,10000,0.449
FIFO,10000,0.411
Belady,10000,0.779
NaiveLRU,10000,0.197
OptimizedLRU,50000,2.032
SLRU,50000,2.234
FIFO,50000,1.897
Belady,50000,3.795
NaiveLRU,50000,1.230
OptimizedLRU,100000,3.990
SLRU,100000,4.470
FIFO,100000,3.447
Belady,100000,7.506
NaiveLRU,100000,2.163
OptimizedLRU,250000,12.151
SLRU,250000,12.132
FIFO,250000,8.480
Belady,250000,15.006
NaiveLRU,250000,4.624
OptimizedLRU,500000,22.292
SLRU,500000,21.533
FIFO,500000,16.532
Belady,500000,30.118
NaiveLRU,500000,9.002
OptimizedLRU,1000000,38.591
SLRU,1000000,43.034
FIFO,1000000,32.925
Belady,1000000,61.916
NaiveLRU,1000000,19.214
